ID	LD03	LD03	LD03	LD06	LD06	LD06	LD09	LD09	LD09	LD12	LD12	LD12	LD15	LD15	LD15	LD18	LD18	LD18	LD21	LD21	LD21	LD24	LD24	LD24
Ot11g02700	-0.306448518	-0.067824025	-0.204899141	-0.340087267	0.073862131	-0.033661194	0.669973295	0.900378705	1.031691106	0.49665651	0.952781166	0.87009762	-0.039928642	-0.056888228	-0.28781148	-0.505471975	-0.493669938	-0.557953957	-0.659463748	-0.803662145	-0.877420443	-0.493959679	-0.435854709	-0.565206386
Ot08g01350	-0.145820794	0.157800946	0.335576616	-0.199367282	0.685807533	0.560090799	0.623809437	1.162413907	1.817180275	0.706371594	0.441384856	1.643533068	0.712494448	0.356432241	-0.318125665	0.464995216	0.223012909	-0.139172466	0.171857858	-0.015348509	0.970281795	0.142407672	-0.375511488	-0.084141235
Ot09g02260	0.675113752	1.012287735	1.322700898	0.314892919	0.693559228	0.366447069	0.138021433	0.100553344	0.143106242	0.525234263	0.202673114	0.413510499	0.136767157	0.418531907	0.68398194	0.353302933	0.677383158	0.118619691	0.3121147	0.449879565	0.640180593	0.485612794	0.808133007	0.735903392
Ot10g02100	-0.933248385	-0.640786677	0.847077865	0.673676009	-0.755348688	-0.922306121	NA	-0.501995421	-0.365937899	0.056039331	0.004018596	-0.107397431	0.05479374	0.353534301	-1.069874462	0.10167949	0.053452743	-1.236034397	0.057318196	0.055914899	1.064494146	-0.16488769	-0.49538007	NA
Ot11g02990	-0.167414013	0.299839053	0.220197293	0.066284582	0.130466532	0.078370924	-0.538342781	-0.084568034	-0.184160135	-0.085753255	-0.574175212	-0.78476726	-0.026358564	0.513585885	0.411130811	-0.199463194	0.508303964	0.227685514	0.150162147	0.662592833	0.664708179	-0.006868349	0.356100459	0.37493449
Ot08g02310	-0.308752488	0.453311164	0.75595751	0.021244791	0.512157604	0.636932278	0.245868542	0.670654595	0.915114049	0.329184401	0.187611203	0.563608062	0.297782844	0.428468021	-0.56285963	0.253547135	0.484149537	-0.203958539	0.238471486	0.690717044	1.27825225	0.119936845	0.474206633	0.686531575
Ot09g02290	-0.422193106	0.06308407	-0.005226569	-0.963171008	0.725729806	0.729858703	0.564351252	0.992028047	0.699803305	0.219898846	0.416090653	0.491675934	0.359622325	0.616499599	-0.809599725	0.585488622	0.511684024	-0.586055701	0.058226714	0.340223566	1.069791655	-0.186521231	-0.187079353	-0.043930134
Ot10g02410	-1.037147691	-1.43179394	-1.481362167	-1.380155923	-1.908228708	-2.055745998	-1.191307923	-1.165928494	-1.142798705	-1.155403107	-0.308772382	-0.137103586	-0.379349151	0.10244731	-0.308573052	0.499799275	0.927409107	0.719317573	1.558265784	1.809050096	2.283031909	0.074280451	-0.156774517	-0.169910492
Ot11g03150	0.064842085	0.4982077625	0.358452584	-1.430157574	-0.229846989	0.040808904	-1.19541574	-0.166722593	-0.046015245	-3.670519191	-2.489019863	-2.867259082	-3.483506801	-3.960398762	-4.347621981	-3.049912394	-3.221898105	-3.358491084	-1.251982654	-1.155465428	-1.187833251	0.340458809	0.400693307	0.339434407
Ot13g00370	-1.491954371	-2.385883955	-2.388187464	-0.726139374	-0.650813868	-0.693207294	0.270878062	0.146418575	0.199405239	0.724617919	0.680574845	0.7023016665	0.476786001	0.663723192	0.488042004	0.302026771	0.272713175	0.201990378	-0.659955649	-0.917033295	-0.593128085	-1.955411675	-2.920601108	-2.75422709
Ot09g02700	-0.423815803	-0.465172935	-0.336587073	-1.129676659	-1.494918598	-1.255796157	-0.64384689	-1.246398402	-1.333270441	0.028710533	-0.11770299	-0.036213161	0.131483436	0.191315505	0.214568787	0.182638663	0.368138872	0.300344559	0.191568111	0.396104188	0.568814409	0.202040751	0.288392704	0.250928476
Ot10g02660	0.046237438	0.27305516	0.161149704	0.464947081	0.467523164	0.458754238	0.56258525	0.791283633	1.026200736	-0.067503359	0.347763329	0.398449674	-0.403947152	-0.481815261	-0.476987143	-0.45535467	-0.6328961	-0.3829151005	-0.547693272	-0.637054659	-0.504401558	-0.384735052	-0.285158394	-0.309741366
Ot08g03650	-1.245716949	-0.957255813	-1.307916699	-0.878447091	-1.063238258	-1.387875877	0.475134353	0.657956239	0.699197909	-0.032431944	1.124140014	0.982163815	0.275985621	0.235515352	-0.035674033	0.80000097	0.786438795	0.633220691	-0.037075952	-0.632083815	-0.172745111	-0.884495572	-1.207053867	-1.24095751
Ot09g02870	-0.034766153	0.175840436	0.093020953	0.323115324	0.491876445	0.659543238	0.77584627	0.778010191	0.933783728	-0.237515562	0.50598569	0.454159942	-0.71027785	-0.607220658	-0.795693571	-1.046083075	-0.931491396	-1.359898584	-0.480693376	-0.460833256	-0.605791211	-0.328190571	-0.321699101	-0.302533121
Ot10g03220	-0.747917858	-1.161176148	-1.062080178	-0.93161903	-1.693953453	-1.434459029	-0.204589452	-0.260651674	-0.225288073	-0.134857556	0.022069633	0.193350443	-0.207013834	-0.089335635	-0.226991012	-0.161278909	-0.067326717	-0.099774994	-0.185209176	0.105756871	0.362239539	-0.50766384	-0.511195727	-0.288569431
Ot11g03500	-0.096735986	-0.042000714	0.083754423	0.233356536	0.704374664	1.020113186	0.911648292	1.185846909	1.777082521	0.285928065	0.236975193	1.079607048	0.306290439	0.247031395	-0.170681855	0.078864858	0.178079055	-0.223769088	0.031869787	-0.110872994	0.77858521	-0.085836686	-0.186271646	0.089639901
