ID	RNA_LD03	RNA_LD03	RNA_LD03	RNA_LD06	RNA_LD06	RNA_LD06	RNA_LD09	RNA_LD09	RNA_LD09	RNA_LD12	RNA_LD12	RNA_LD12	RNA_LD15	RNA_LD15	RNA_LD15	RNA_LD18	RNA_LD18	RNA_LD18	RNA_LD21	RNA_LD21	RNA_LD21	RNA_LD24	RNA_LD24	RNA_LD24	RNA_mean.level	RNA_max.level	RNA_rhythm.pvalue_original	RNA_rhythm.pvalue_Brown	RNA_rhythm.pvalue
Ot11g02700	7.172271325	7.410895818	7.273820702	7.138632576	7.552581974	7.445058649	8.148693138	8.379098548	8.510410949	7.975376353	8.431501009	8.348817463	7.438791201	7.421831615	7.190908363	6.973247868	6.985049905	6.920765886	6.819256095	6.675057698	6.6012994	6.984760164	7.042865134	6.913513457	7.40643772041667	8.510410949	0.00166119270116474	0.00166119270116474	0.00166119270116474
Ot08g01350	7.332899049	7.636520789	7.814296459	7.279352561	8.164527376	8.038810642	8.10252928	8.64113375	9.295900118	8.185091437	7.920104699	9.122252911	8.191214291	7.835152084	7.160594178	7.943715059	7.701732752	7.339547377	7.650577701	7.463371334	8.449001638	7.621127515	7.103208355	7.394578608	7.89113499845833	9.295900118	0.00572836537397554	0.00572836537397554	0.00572836537397554
Ot09g02260	8.153833595	8.491007578	8.801420741	7.793612762	8.172279071	7.845166912	7.616741276	7.579273187	7.621826085	8.003954106	7.681392957	7.892230342	7.615487	7.89725175	8.162701783	7.832022776	8.156103001	7.597339534	7.790834543	7.928599408	8.118900436	7.964332637	8.28685285	8.214623235	7.96740781520833	8.801420741	0.0169635313238789	0.0169635313238789	0.0169635313238789
Ot10g02100	6.545471458	6.837933166	8.325797708	8.152395852	6.723371155	6.556413722	NA	6.976724422	7.112781944	7.534759174	7.482738439	7.371322412	7.533513583	7.832254144	6.408845381	7.580399333	7.532172586	6.242685446	7.536038039	7.534634742	8.543213989	7.313832153	6.983339773	NA	7.30275630095455	8.543213989	0.0112148089109342	0.000634700746689156	0.000634700746689156
Ot11g02990	7.31130583	7.778558896	7.698917136	7.545004425	7.609186375	7.557090767	6.940377062	7.394151809	7.294559708	7.392966588	6.904544631	6.693952583	7.452361279	7.992305728	7.889850654	7.279256649	7.987023807	7.706405357	7.62888199	8.141312676	8.143428022	7.471851494	7.834820302	7.853654333	7.562573670875	8.143428022	0.00297800874789393	0.00297800874789393	0.00297800874789393
Ot08g02310	7.169967355	7.932031007	8.234677353	7.499964634	7.990877447	8.115652121	7.724588385	8.149374438	8.393833892	7.807904244	7.666331046	8.042327905	7.776502687	7.907187864	6.915860213	7.732266978	7.96286938	7.274761304	7.717191329	8.169436887	8.756972093	7.598656688	7.952926476	8.165251418	7.86072554766667	8.756972093	0.651133108695968	0.651133108695968	0.651133108695968
Ot09g02290	7.056526737	7.541803913	7.473493274	6.515548835	8.204449649	8.208578546	8.043071095	8.47074789	8.178523148	7.698618689	7.894810496	7.970395777	7.838342168	8.095219442	6.669120118	8.064208465	7.990403867	6.892664142	7.536946557	7.818943409	8.548511498	7.292198612	7.29164049	7.434789709	7.69706485525	8.548511498	0.269394251899601	0.269394251899601	0.269394251899601
Ot10g02410	6.441572152	6.046925903	5.997357676	6.09856392	5.570491135	5.422973845	6.28741192	6.312791349	6.335921138	6.323316736	7.169947461	7.341616257	7.099370692	7.581167153	7.170146791	7.978519118	8.40612895	8.198037416	9.036985627	9.287769939	9.761751752	7.553000294	7.321945326	7.308809351	7.16885507920833	9.761751752	0.00318658889900451	0.00318658889900451	0.00318658889900451
Ot11g03150	7.543561928	7.9769276055	7.837172427	6.048562269	7.248872854	7.519528747	6.283304103	7.31199725	7.432704598	3.808200652	4.98969998	4.611460761	3.995213042	3.518321081	3.131097862	4.428807449	4.256821738	4.120228759	6.226737189	6.323254415	6.290886592	7.819178652	7.87941315	7.81815425	6.0175044730625	7.9769276055	6.42051830251883e-07	6.42051830251883e-07	6.42051830251883e-07
Ot13g00370	5.986765472	5.092835888	5.090532379	6.752580469	6.827905975	6.785512549	7.749597905	7.625138418	7.678125082	8.203337762	8.159294688	8.1810215095	7.955505844	8.142443035	7.966761847	7.780746614	7.751433018	7.680710221	6.818764194	6.561686548	6.885591758	5.523308168	4.558118735	4.724492753	6.93675878464583	8.203337762	0.0142625281459547	0.0142625281459547	0.0142625281459547
Ot09g02700	7.05490404	7.013546908	7.14213277	6.349043184	5.983801245	6.222923686	6.834872953	6.232321441	6.145449402	7.507430376	7.361016853	7.442506682	7.610203279	7.670035348	7.69328863	7.661358506	7.846858715	7.779064402	7.670287954	7.874824031	8.047534252	7.680760594	7.767112547	7.729648319	7.26337192154167	8.047534252	0.00569139294016893	0.00569139294016893	0.00569139294016893
Ot10g02660	7.524957281	7.751775003	7.639869547	7.943666924	7.946243007	7.937474081	8.041305093	8.270003476	8.504920579	7.411216484	7.826483172	7.877169517	7.074772691	6.996904582	7.0017327	7.023365173	6.845823743	7.0958047425	6.931026571	6.841665184	6.974318285	7.093984791	7.193561449	7.168978477	7.4548759396875	8.504920579	0.00170549529653196	3.12218163292813e-08	3.12218163292813e-08
