ID	LD03	LD03.1	LD03.2	LD06	LD06.1	LD06.2	LD09	LD09.1	LD09.2	LD12	LD12.1	LD12.2	LD15	LD15.1	LD15.2	LD18	LD18.1	LD18.2	LD21	LD21.1	LD21.2	LD24	LD24.1	LD24.2
Ot11g02700	302.342880111006	312.401955292277	306.623634383176	300.924858427897	318.374651881094	313.842069343914	343.503367461312	353.215972031882	358.751369078874	336.197300307128	355.424966960506	351.939490700246	313.577868758994	312.862947384107	303.128513488541	293.953163315256	294.450671244901	291.740816225638	287.461730678019	281.38313204715	278.273894367912	294.438457383426	296.887838225633	291.435094345873
Ot08g01350	309.114047360431	321.913043267898	329.407072097247	306.856826646357	344.170850453011	338.871335457918	341.557357173594	364.261911884575	391.86320309771	345.037716351941	333.867356234794	384.543207198418	345.295821661818	330.286228705146	301.85063684587	334.862637076718	324.662015220812	309.394303717778	322.505604127208	314.614029811467	356.162695684902	321.264148854314	299.43157122256	311.714112899926
Ot09g02260	343.720060403344	357.933431384359	371.018715734751	328.535163013088	344.497618597416	330.70839789035	321.079249528561	319.499804269563	321.293596661876	337.401978679934	323.804603123234	332.692329106742	321.026376261347	332.904003608185	344.09389365362	330.154314566569	343.815725878769	320.261380503583	328.418048824851	334.225445697446	342.247473627852	335.731758953313	349.327408877005	346.282611930703
Ot10g02100	275.920500302058	288.249051623128	350.969106464796	343.659453192632	283.419757416659	276.381765006471	NA	294.099715404767	299.835140237185	317.623342227643	315.430438734077	310.733761633158	317.570835071497	330.164067748555	270.161108367949	319.547276291972	317.514306131524	263.156734016988	317.677252029692	317.618096869854	360.134161940519	308.310293571681	294.37858163607	NA
Ot11g02990	308.203797911199	327.900576144158	324.543324584031	318.055224758913	320.760777119502	318.56471739865	292.567513817729	311.696121439057	307.497874985706	311.646159144761	291.057018759886	282.179634813345	314.149907417313	336.910948155075	332.592014758458	306.852783532398	336.68829188131	324.8589861369	321.591034187985	343.192248425722	343.28141959244	314.971505969579	330.272242630037	331.066180131647
Ot08g02310	302.245757610486	334.370102735368	347.127981482336	316.156598854582	336.850739809409	342.110542819172	325.625480989862	343.53208726218	353.837131793205	329.137612032811	323.16967712206	339.019603611386	327.8138978629	333.322854651006	291.534020465063	325.949167562445	335.670076214934	306.663284907373	325.313662443959	344.377808002219	369.145009115968	320.316904355912	335.250938943656	344.201372017754
Ot09g02290	297.463735066506	317.920309057587	315.040714240044	274.659129725242	345.853750395366	346.027801620437	339.050932348809	357.07939615026	344.760833991574	324.530743726246	332.801093981374	335.987347054634	330.420704820263	341.249215251194	281.132836853794	339.941965751505	336.830776322994	290.556203732314	317.715550071735	329.602961541897	360.357475317258	307.398344372249	307.374817067538	313.409188216778
Ot10g02410	271.540686154749	254.904605596591	252.815086135589	257.08137583792	234.820778115045	228.602273501408	265.042152227428	266.112007132762	267.087029786777	266.55569863238	302.244918990615	309.48151613759	299.2697967955	319.579643292562	302.25332162955	336.329781717626	354.355422733189	345.583446483911	380.948814982113	391.520480182849	411.50090478881	318.392285914704	308.652299608612	308.098560306988
Ot11g03150	317.994417146126	336.262692444064	330.371395076265	254.97358564307	305.57197252111	316.981312533583	264.868989617361	308.232944314715	313.321291588705	160.532459104409	210.337868505418	194.393416648893	168.415856433782	148.31275625017	131.989589156611	186.69377368929	179.443817176849	173.685820469467	262.484444621393	266.553071527273	265.188624982336	329.612878072229	332.152027915025	329.56969500831
Ot13g00370	252.368578004626	214.685502058947	214.588398991611	284.651058872035	287.826361282929	286.039291339	326.679742598823	321.433226111701	323.666847774255	345.806879452717	343.950269567409	344.866150951465	335.35967068492	343.239898044668	335.834160872387	327.992798109979	326.757100708215	323.775822788631	287.440994880622	276.604037885859	290.25807154365	232.83180788671	192.144814910196	199.158213804132
Ot09g02700	297.395331228684	295.651945648941	301.072407047707	267.640181919597	252.24362275853	262.323688644927	288.120050143646	262.71984548068	259.057805761014	316.471312818424	310.299336853611	313.734492675692	320.80364410964	323.325829794586	324.306058223397	322.960062622421	330.779714850964	327.92188545233	323.336478251973	331.958576302173	339.239074107622	323.777946232824	327.418062032993	325.83877953218
Ot10g02660	317.210149192149	326.771516884788	322.054208192179	334.860607974099	334.969201238119	334.599552319083	338.976487572982	348.617133424169	358.51992576009	312.415472778942	329.920795817467	332.057448885259	298.232882527995	294.950398182792	295.153924657948	296.065828836467	288.581674256575	299.119476291255	292.173349368102	288.406372647336	293.998286114441	299.042757305979	303.240352768746	302.204072039897
Ot08g03650	262.748571731172	274.908481292086	260.126577845967	278.230616625184	270.440853645204	256.755945716705	335.290046434718	342.996795532162	344.735313879192	313.893887654813	362.648498431804	356.663575250879	326.89504874501	325.189048353519	313.757219299502	348.984607639247	348.412902127246	341.954083051755	313.698122228444	288.615915653093	307.979068609917	277.975646465388	264.378391217379	262.949203083469
Ot09g02870	313.79549044703	322.673487360876	319.182280756318	328.881773660746	335.995799477931	343.063694541785	347.966380464717	348.057599281996	354.624141132901	305.248708335736	336.590566404082	334.405882472841	285.319692089018	289.664007415856	281.719042598266	271.164020296607	275.99456514017	257.935312051306	294.997690585252	295.834882265274	289.724264913566	301.426356652024	301.700000752619	302.507931369124
Ot10g03220	283.732999685671	266.312339483814	270.489671826605	275.989184803954	243.853425486792	254.792260336979	306.636689140861	304.273419139373	305.764150944257	309.576196211481	316.19136958405	323.411611409348	306.534490743289	311.49514602245	305.692364552112	308.462419612622	312.422919018579	311.055080982583	307.453653279231	319.719155890358	330.531031937403	293.860766535089	293.7118819155	303.096562509843
Ot11g03500	311.183188577759	313.490521782299	318.791655633274	325.098044734513	344.953536942069	358.263308669573	353.69103484488	365.249716304304	390.17290585699	327.314166625259	325.250587092427	360.771237437313	328.172530527304	325.674500374271	308.066043953316	318.585538895967	322.76785502842	305.828182863706	316.604489313021	310.587251318669	348.081838869806	311.642642160017	307.408865481158	319.039754497457
Ot08g03970	310.560351956082	302.065650566901	297.084520763389	289.882452548175	273.591397252396	277.701718412673	257.90117338509	248.19725620651	237.935180215601	326.595491737222	319.481978433378	318.183404185208	336.017286382639	334.293726908083	332.948960361141	338.423560881957	334.491885482574	329.343823828317	339.782057837499	340.300640233086	343.851832523707	325.481140995273	320.147330814633	325.089865008108
Ot09g03030	261.936801564363	242.103715396314	248.37002796087	232.327472839276	215.523265184177	215.623679522727	229.611828796773	212.852666503204	208.114511568639	333.179864229915	314.263761172556	310.26969690624	356.286574096545	360.283288104888	348.361224527773	368.206434178238	365.285400899269	357.827692479881	354.790741565659	335.3571108161	339.874708640152	315.003200565144	304.367010786347	305.166666786866
Ot10g03550	287.345078586447	255.141128648479	267.890871298859	237.97195273163	175.998606768737	189.333629958556	255.721528592255	168.823629760839	153.693306736936	345.784861613189	338.178660146545	NA	336.210712196991	347.309443495185	352.822788262495	325.323427091945	331.113603339248	342.818724167285	338.412151537434	346.146782996197	NA	322.919919650383	308.956480112303	310.135862254809
Ot13g00440	287.965118009964	300.398779586767	300.618850446138	273.192789559132	295.769767019593	290.928903829842	332.523510593136	346.729916274199	344.728107266309	287.024410058988	349.678049107057	NA	231.15026818292	221.597242890562	183.042250820937	279.373776619663	282.963534253453	270.630110851912	317.758477974999	333.804925129139	335.974069932426	314.761122784238	321.163117501637	317.465112270004
Ot17g01250	300.394882790771	NA	318.153301972555	289.736265515871	NA	313.231652508014	325.569558778341	NA	NA	276.579731103917	298.423328151884	316.410735579499	243.20674784727	240.080498712933	237.218375803132	261.601154646939	263.148252886538	272.362503404104	296.55883509646	293.226570521867	NA	298.602150750536	311.64413948473	NA
Ot17g00150	246.597742075067	212.574785167582	213.115879747487	330.036210044733	332.049969807335	323.477061065979	NA	329.735864875904	327.729060254039	358.482413687057	351.684526526376	NA	309.44947389459	330.080373957509	331.120112528461	193.220915792595	193.134880071038	216.538098802081	88.9657539176351	56.7072264517328	59.8109706944673	126.024952407052	90.117898829942	110.785748878965
Ot18g01230	321.507810081397	336.057370043419	346.27043592389	295.945682945077	332.490056936114	321.231796354842	327.998872181352	365.516345699977	373.506059575735	296.378253900049	303.785375929073	298.19663660488	296.901202017312	296.138711622714	297.990711501529	293.782954254062	295.629322977911	283.12183958318	309.470610959834	317.414040429431	334.568184926064	327.102934998068	329.565513670034	336.072208143502
Ot19g00700	317.604961428624	310.056035330126	304.588578295961	322.285608639926	341.410295648014	344.606054962716	392.299152012176	391.041121160802	411.921823716309	338.382659509894	356.787463526654	358.79791981661	308.992306936255	312.568440179791	303.62209776983	262.721360889636	278.10643933876	286.928818733174	251.424278539906	239.498257970295	211.315417473342	268.76695565106	270.143142579116	251.518146298278
Ot17g01160	343.759621518034	355.884984062943	344.202055509389	366.073183983196	369.843216962061	366.703919203505	392.779491756618	403.895775646097	409.090398618848	370.274941941217	359.294170195838	368.692751839839	344.089847968242	337.260128830767	342.58258552148	332.245272673343	326.330150875459	319.767878381243	318.564767435937	321.576903017391	305.473383047054	324.546675691164	328.212606684599	324.428491244563
Ot18g02090	264.927159670746	243.265429655217	250.638533158098	245.106317588886	219.596982235301	215.366864390782	290.723048955742	258.999953762667	255.320155569566	344.749689924765	324.230883417464	323.116606150654	344.708000518125	350.230743948816	346.019867949335	354.995083012061	370.795542521432	367.763655448101	339.871484839343	329.924803058022	346.712403055133	291.421757617327	263.484930943033	269.258461129677
Ot18g01100	313.743181796011	332.193145412758	334.135959679424	328.362101447146	348.749104429048	352.294013604566	342.867028570713	361.458709671773	382.773064189993	321.530359150824	344.550706641358	354.028341676584	316.795355553633	323.117702081056	326.94689964127	325.611341852084	322.918669476988	319.151051334689	309.664747708343	327.862016365371	334.902054360554	314.335788097777	320.604422105799	318.588095097353
Ot19g00720	289.305382170627	327.477632582407	340.335193150708	312.243140273554	343.700089750679	345.603454021687	333.505177330483	341.586016061336	367.209073859171	328.82480871769	328.783663608817	361.582015837273	318.298326976339	329.6774973291	307.248358215722	314.952568142162	315.709434168653	304.522732978018	299.0440397275	306.036300502331	339.158472764237	300.721798897162	321.725606246544	328.008813540633
Ot17g01130	315.727381873243	331.049585288601	331.924726520142	326.703284025262	361.240592163543	363.09868272257	348.018903766002	364.162216363058	390.790319819422	314.757062049734	320.74878848905	342.630950627261	299.444771033576	301.058474930246	287.834688971321	300.969387229263	290.539715329157	280.980749341985	298.43783770048	315.008952281729	308.06376837385	312.761580482311	307.36862686076	308.181563440148
Ot18g01800	343.471803080726	337.618271112898	350.196230909268	321.10612827764	335.870211030412	348.047843275665	304.391210453929	330.988781469711	349.590765109053	256.324470860753	265.756223221363	273.775345237381	258.794124349832	226.687731735143	231.316812128766	320.903527260445	291.570979725137	292.729942818497	338.773498819506	340.444464637063	344.781442988499	345.359399915485	336.187575452907	348.603120496701
Ot18g01030	322.875928486387	320.02591662345	317.223924579506	314.57084371243	318.858636759692	318.660850240041	332.297719675143	331.607582902458	337.124622251049	309.856159975053	321.379228881402	321.005143421279	276.654850139563	244.31665294278	238.812802445058	250.092018616831	227.79570114221	235.66012734218	279.290674592251	271.262606651236	264.275620194275	307.773040059639	309.312868054271	309.660393494823
Ot19g00860	299.471556579251	284.600008825293	285.483159395107	288.540746664468	311.609138592172	309.330874142722	325.17726383473	327.818827104753	353.89666069406	318.180835716887	308.811682910962	360.388758907307	307.477429674362	302.807269974903	282.449127589605	307.252547436874	288.84757771112	279.515777676705	305.189425321566	287.486903311583	321.539484822234	304.010212724105	283.070790210909	285.915165944658
Ot17g01020	328.34812561556	294.995797388457	302.916059804947	304.520538630104	244.84595769244	244.815945858846	212.631188824643	216.398916104714	214.496162482518	277.169990332334	279.448124187416	277.359008354908	318.546113307712	338.051239457512	329.76761604269	323.45816134615	337.550821060801	340.185183809255	346.432083128934	315.757014274974	325.198303902672	333.87760224401	316.942976679032	319.765023136458
