Protein.Name	Gene.Name	Uniprot.ID	mRNA.ID	ZT00	ZT02	ZT04	ZT06	ZT08	ZT10	ZT12	ZT14	ZT16	ZT18	ZT20	ZT22	ZT24	ZT26	ZT28	ZT30	ZT32	ZT34	ZT36	ZT38	ZT40	ZT42	ZT44	ZT46
ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial	Clpx	Q9JHS4;Q6P8N8;F7BB92	1423447_at	0.796782877970389	0.787622266151511	0.782331743380931	0.760004239011484	0.668946111256551	0.659627167427545	0.653961033843636	0.675780686358132	0.716669654397972	0.743571367144309	0.767890768420403	0.77937016737535	0.785731106660846	0.782191668630611	0.754657412648037	0.744135533415803	0.658210779653891	0.651743601950682	0.662886694019507	0.67904590532612	0.706769294049084	0.725977070368378	0.778294982007258	0.771868276895742
Uridine phosphorylase 2	Upp2	Q8R093;Q8CGR7;A2APN2	1451548_at	0.670410869336553	0.661237220136552	0.689148024145792	0.767863830923414	0.827349999954812	0.812692664974916	0.832353992521432	0.775148334597085	0.760952766307093	0.730968331951668	0.674588815267637	0.69468207810712	0.649309860938891	0.67767261737213	0.757222580585488	0.775317200910855	0.833430528216249	0.833120951188056	0.813970735763246	0.781260418847351	0.737223457809629	0.714680169123369	0.726558849393648	0.699025363354735
Tryptophan 2,3-dioxygenase	Tdo2	P48776;C5NSA7	1419093_at	0.901234760771442	0.908369623320324	0.910968190781919	0.92283072212748	0.922580348267217	0.922425168930654	0.924688642986483	0.911915030169123	0.906465044226505	0.908580239185541	0.906942773205847	0.907275734639957	0.917448663820781	0.923042819958724	0.924170332242584	0.925220422478876	0.924092555061428	0.92333394700717	0.918879394661932	0.91439507720746	0.9093679945219	0.918676199743065	0.915765206578743	0.892390834503159
Glycerophosphocholine phosphodiesterase GPCPD1	Gpcpd1	Q8C0L9;Q8C0L9-2;B0R058;Q8C0L9-3;A2AMD6;A2AMD7;D6RHB5;D6RGT7;D6RHS8	1429144_at	0.62314860377189	0.66418775657759	0.686224827257431	0.721649033925175	0.751672912096508	0.76909247261585	0.713074181904112	0.693562196690419	0.669194703890769	0.635823778765638	0.626440479230833	0.633289664013381	0.658095757267224	0.660068461865463	0.749348037959035	0.701420529955086	0.781605197395491	0.777292654020743	0.663668513008332	0.672751407439551	0.642482183853839	0.601891172485042	0.647590514493184	0.607688307185343
Carboxylesterase 1C	Ces1c	P23953;F6XTA4	1416913_at	0.904014776923991	0.899263456932408	0.90548213449995	0.906948208446432	0.908716575964698	0.907918742323245	0.914299766256109	0.904421780493412	0.906783919084987	0.903112234455027	0.91787955495079	0.910583696948374	0.900214829392168	0.908376556908718	0.903986128116052	0.912072698366122	0.91138789900681	0.908669220919167	0.910328692895001	0.901971255762926	0.903802940031099	0.907012464808436	0.902307107411082	0.899786562857344
Transferrin receptor protein 2	Tfr2	Q9JKX3;Q9JKX3-3;Q9JKX3-2	1425381_a_at	0.819888095059979	0.813394250393177	0.810973508323832	0.806566260708658	0.811473242129187	0.806683045248298	0.813794056510533	0.800693603779219	0.815395436939223	0.811674458363053	0.813915031275477	0.821383103910487	0.81859445338974	0.813002289393259	0.811372737568506	0.817154541731014	0.814108893845304	0.815625516114294	0.797138697838263	0.794256423104444	0.803684298398787	0.808742669114059	0.812088513118646	0.804377744997695
	Irf2bp2	E9Q1P8	1433634_at	0.71297965025744	0.716262199744536	0.717876187708142	0.651100870183374	0.650783456521163	0.659815332355775	0.667639899495464	0.680191977172135	0.673259648712815	0.639782492951316	0.707744217657879	0.62982869043848	0.730492921579262	0.717045928088329	0.632196325351277	0.666483287319652	0.643230226888617	0.627887230809274	0.6483194760891	0.647195788658344	0.706342454484312	0.669874511546189	0.736851372004322	0.673020709042475
Phosphoenolpyruvate carboxykinase, cytosolic [GTP]	Pck1	Q9Z2V4	1439617_s_at	0.673660097112961	0.753222933889642	0.683269423672536	0.709121167115222	0.76357280618685	0.76938115526869	0.707134974578404	0.759404700966544	0.702896666409946	0.691467723337463	0.541358725374576	0.661071514043667	0.679164418670109	0.68677074955006	0.662558128343534	0.701534220678556	0.752027022993688	0.77032374884955	0.766681909482533	0.716182147836211	0.646236153345754	0.593366978661426	0.712341279202961	0.568634367871081
Palladin	Palld	Q9ET54-6;Q9ET54-4;Q9ET54-3;Q9ET54;Q9ET54-5;Q9ET54-2;D3Z1J5	1433768_at	0.67797150095939	0.673728820318325	0.631552202244289	0.63542394006024	0.630218304455877	0.621971080780439	0.631582272756707	0.684285219822482	0.679856133714869	0.678277025135206	0.692812344580569	0.649893430200186	0.664556271798422	0.649613850902502	0.629118780209157	0.639264182616962	0.62308681269226	0.613595027510561	0.64987968553571	0.684323680439057	0.647245982432327	0.666150527030398	0.666079109373259	0.665333494703343
Alpha-1-antitrypsin 1-3	Serpina1c	Q00896	1449321_x_at	0.862613426062872	0.860730865836591	0.855751408495933	0.862086960702905	0.847042499103389	0.850844246290759	0.841294824624363	0.846747955283682	0.837015594769414	0.85546454363561	0.863702346383385	0.853027719923858	0.860206616112371	0.875818578845743	0.86912238877238	0.856640379830277	0.859946306702526	0.845970173526037	0.853418111783275	0.867044159885024	0.843136473110234	0.868686412854865	0.87752660524743	0.866213538110859
Apolipoprotein A-IV	Apoa4	P06728	1417761_at	0.679695432489805	0.686836979565518	0.657447183172097	0.655860724380272	0.653905760723238	0.662919966292324	0.619194742337504	0.680630922930848	0.667197523509027	0.672744637727463	0.67974101643089	0.635747155973415	0.69281268040706	0.677122148960025	0.672039193054362	0.663988442560916	0.66422809735446	0.662660750951359	0.758539863504551	0.706663126658089	0.708361440419414	0.674753831278039	0.688469141066335	0.692352994846789
