ID	LD00	LD04	LD08	LD12	LD16	LD20	LD24	LD28	LD32	LD36	LD40	LD44
ATMG00640	9.09	7.25	6.37	6.78	8.86	6.41	6.75	7.23	6.83	6.2	6.08	6.61
ATMG00650	5.52	4.05	4.85	4.68	4.92	5.47	5.61	5.5	4.95	5.22	6.55	6.11
ATMG00660	5.71	8.82	5.51	4.56	4.53	6.17	6.29	6.24	6.45	6.47	5.24	7.23
ATMG00670	6.43	5.54	6.24	6.87	6.18	5.89	8.02	7.58	6.78	6.33	6.59	5.78
ATMG00680	4.76	5.07	4.51	7.35	4.8	4.56	4.74	4.12	5.4	3.62	4.53	3.66
ATMG00690	5.3	5.9	4.17	4.89	4.48	4.45	4.36	4.12	5.06	7.09	4.59	4.85
ATMG00710	5.33	6.34	4.52	6.9	8.55	5.51	4.65	5.35	4.63	4.52	5.01	4.8
ATMG00720	4.28	4.9	4.48	5.67	5.26	3.99	3.91	4.57	4.67	4.28	4.08	4.08
ATMG00740	3.56	4.1	3.86	4.11	3.79	4.03	4.36	4.11	4.06	3.86	4.55	3.59
ATMG00750	3.64	4.24	3.41	4.76	4.25	3.69	4.29	3.92	3.94	4.12	4.56	3.86
ATMG00820	3.91	4.03	4.33	4.37	3.66	4.15	3.19	4.6	3.97	3.57	4.04	3.71
ATMG00830	74.32	86.65	41.9	43.26	48.09	33.25	51.62	43.71	43.53	23.17	18.69	41.02
ATMG00850	6.99	8.41	5.98	7.56	6.82	6.26	6.72	7.02	6.01	5.14	7.92	5.73
ATMG00860	3.89	4.14	3.98	4.61	4.12	3.53	3.7	3.95	4.84	4.94	4.18	3.46
ATMG00880	3.23	2.82	3.55	2.55	3.94	3.02	2.87	3.05	3.36	2.9	3.48	2.55
ATMG00870	3.36	3.58	3.78	3.4	4.25	3.91	3.6	3.84	3.75	2.98	3.71	3.65
ATMG00510	14.31	13.42	13.16	11.93	20.08	13	10.46	13.05	17.65	14.59	21.34	12.05
ATMG00520	4.04	3.26	3.56	3.24	3.7	3.82	3.43	4.32	4.31	3.62	2.99	3.23
ATMG00570	6.68	6.44	6.85	7.36	8.3	6.66	6.47	7.92	6.31	5.12	5.96	7.91
ATMG00600	3.65	3.76	3.8	3.41	3.67	3.61	4.02	3.62	4.04	3.51	3.5	3.47
ATMG00630	5.73	5.51	5.95	7.39	6.79	5.45	5.53	6.68	7.13	7.65	7.29	5.55
ATCG01070	763.83	710.57	755.8	482.23	415.19	452.13	634.99	427.62	449.24	340.97	345.11	777.59
ATCG01080	180.87	220.91	99.72	89.17	115.83	104	101.11	102.32	109.16	61.94	122.73	117.16
ATCG01100	2072.21	2667.18	2700.74	1719.28	2250.17	2024.03	1768.12	1979.21	2203.49	2828.31	2007.34	2366.91
ATMG00010	7.12	6.16	4.99	6.71	7.76	6.32	6.53	6.8	5.8	5.74	7.15	5.64
ATMG00050	3.45	3.54	3.6	3.86	4.28	3.54	3.48	3.89	3.72	3.82	3.69	4.02
ATMG00070	7.92	9.11	6.16	8.21	6.7	6.56	7.8	7.01	6.07	10.55	8.8	7.66
ATMG00110	8.5	5.8	5.99	5.01	5.84	6.55	7.03	7.48	7.22	6.58	6.56	6.78
ATMG00120	3.81	4.34	3.59	4.79	4.7	4.02	4.32	3.48	3.59	3.44	3.62	3.38
ATMG00150	3.87	4.14	3.65	4.27	4.2	3.61	3.91	3.41	3.79	3.74	3.9	4.09
ATMG00160	10.86	12.14	9.11	9.41	8.88	9.98	8.27	10.58	10.87	12.36	9.14	11.57
ATMG00180	38.07	29.27	24.17	27.5	25.6	27.37	24.05	16.62	21.74	30.51	22.82	20.33
ATMG00260	3.58	3.4	3.48	3.76	3.48	3.49	3.99	3.75	3.53	3.99	4.56	3.12
ATMG00270	6.38	5.05	4.88	4.86	8.56	5.51	5.14	5.51	3.97	5.01	6.21	6.85
ATMG00320	4.29	4	3.79	3.83	4.53	3.89	3.46	4.21	3.18	3.62	3.69	3.45
ATMG00310	4.71	5.38	4.5	4.98	6.13	5.1	5.43	6.37	4.29	5.2	5.29	4.43
ATMG00450	4.35	4.89	4.39	4.33	5.62	4.54	4.59	3.9	5.02	4.05	4.94	4.38
ATCG01020	2342.63	2022.4	2687.09	1925.1	2699.43	1981.27	2175.76	2207.92	2411.23	2826.04	1756.24	2191.61
ATCG01040	5374.72	4203.19	4780.93	4413.91	5365.33	4796.94	4707.52	4686.59	4173.65	3745.56	4621.13	5138.85
ATCG01050	3978.55	3165.17	3170.28	2560.97	3554.07	3136.43	3475.06	2896.17	2350.93	1925.84	2604.89	3208.32
ATCG00630	5873.89	5098.85	6173.48	5339.25	6020.1	5176.56	5903.56	5585.58	5710.58	5721.35	5694.73	6158.6
ATCG00650	1425.88	1223.51	1409.41	1064.34	2236.54	1237.55	824.61	1016.04	936.52	1578.07	1317.69	1538.35
ATCG00660	224.08	164.72	179.14	146.45	134.55	95.83	129.53	189.16	145.12	133.76	92.16	218.04
ATCG00670	1902.35	1809.62	1868.32	1990.79	1917.56	1929.7	1684.78	1999.32	1889.85	1203.38	1397.3	1750.82
ATCG00680	1053.47	1724.08	890.05	847.05	547.33	659.15	803.43	666.59	730.1	403.83	559.49	745.01
ATCG00700	27.44	26.54	41.82	24.4	36.43	35.07	28.36	39.7	40.02	39.89	35.42	39.54
ATCG00720	6268.68	6746.66	6357.95	6364.16	6535.37	5616.76	6711.87	6509.24	6165.28	5674.72	5605.03	6140.15
ATCG00730	21.16	12.84	13.24	6.74	9.15	8.55	14.58	7.98	9.64	7.67	8.84	13.35
ATCG00740	1010.07	2819.91	1368.54	1320.68	1055.3	875.95	724.23	949.49	2138.66	1961.65	1442.46	1889.58
ATCG00770	384.56	683.49	339.95	284.5	364	297.13	235.9	262.34	633.08	336.1	336.35	542.51
ATCG00790	1466.27	674.96	1094.21	948.67	1166.12	1217.22	871.11	1190.49	1294.88	837.34	868.18	1445.23
ATCG00800	2246.97	2815.79	2444.26	2028.05	2041.27	2439.82	1829.77	2116.22	2568.01	1666.48	1806.88	2847.34
ATCG01010	7.61	3.94	5.71	6.03	8.51	6.17	5.95	7.17	5.86	6.79	5.66	9.39
ATCG00150	72.81	61.77	65.78	36.17	55.84	39.45	42.51	43.24	37.61	42.36	35.79	61.64
ATCG00160	1381.22	1545.22	1286.71	1215.31	1360.9	1311.96	1179.61	1078.13	1373.91	1164.92	896.56	1262.32
ATCG00170	273.07	369.29	239.55	187.6	317.34	243.96	205.32	164.34	232.92	219.66	156.7	382.25
ATCG00180	1232	1536.67	904.9	891.68	1290.9	897.72	1088.17	886.39	956.59	570.62	530.55	1232.86
ATCG00210	127.5	49.98	34.19	61.67	73.34	50.89	59.69	52.9	62.91	28.99	64.09	83.6
ATCG00220	4059.73	3658.02	4867.13	4187.92	4038.17	4010.6	3952.96	4710.84	4670.12	4692.01	4618.43	4038.19
ATCG00270	1105.86	847.17	1397.77	1106.61	1133.47	887.22	852.11	1863.31	1571.8	505.75	1095.33	1375.39
ATCG00280	2883.38	1090.74	3221.84	3148.25	2513.06	2532.58	2327.03	3364.79	2690.79	1520.49	1742.55	2617.87
ATCG00300	1387.97	2088.36	1989.56	1288.16	1284.61	1189.08	1257.64	1556.83	1610.02	1488.85	989.67	1387.61
ATCG00340	7041.33	5647.44	6157.83	6075.86	7548.42	6645.94	6232.86	6169.39	6198.7	4435.59	5269.44	6169.4
